572793752907091969	Tue Mar 03 16:20:47 +0000 2015	Visio #zorg #vacature Gedragswetenschapper/GZ neuropsycholoog Den #Haag http://t.co/nhvUbE6Lmr
572793587622129666	Tue Mar 03 16:20:07 +0000 2015	Auf Jobsuche in Amsterdam? #Jouwbaan http://t.co/aIns6MkhoJ
572793129683841024	Tue Mar 03 16:18:18 +0000 2015	Fiz umas headers da holland
572792760798875648	Tue Mar 03 16:16:50 +0000 2015	RT @ExpediaDE: Wie wär's mit einem Urlaub in Holland? Retweeten und das Gemälde aufdecken #VanGogh2015 http://t.co/CGN13x3xKo http://t.co/Q…
572792756227182593	Tue Mar 03 16:16:49 +0000 2015	17:16:47 P 1 Ass  Politie Inc net: Reg Inmeld (Openen Deur) , Wingerdweg 229 Amsterdam �  #ASY ] http://t.co/kzVvJ3TlFb
572792438366048256	Tue Mar 03 16:15:33 +0000 2015	RT @ExpediaDE: Wie wär's mit einem Urlaub in Holland? Retweeten und das Gemälde aufdecken #VanGogh2015 http://t.co/CGN13x3xKo http://t.co/Q…
572792403037458433	Tue Mar 03 16:15:25 +0000 2015	Under Construction @ Den Haag Marketing https://t.co/ZYqayeoSqV
572792197277335552	Tue Mar 03 16:14:36 +0000 2015	Gepland proefalarm ZDT SSA http://t.co/QcFeUQBiye #P2000
572792194676879360	Tue Mar 03 16:14:35 +0000 2015	Gepland proefalarm ZDT HA http://t.co/QcFeUQBiye #P2000
572791985087647745	Tue Mar 03 16:13:45 +0000 2015	I'm at Der Holl�nder in M�lheim an der Ruhr https://t.co/yQCPgcImtH
572791876736049152	Tue Mar 03 16:13:20 +0000 2015	RT @Niederlandeblog: #DenHaag Blogpost Nr.3 das Parkhotel .@parkhotelDH http://t.co/GMtNoYRPss #Unterkunft #Holland http://t.co/o9rqsxzP1G
572791739167211520	Tue Mar 03 16:12:47 +0000 2015	Delft - Gezocht - Zware mishandeling Multatuliweg http://t.co/FofjingOYR
572791681394728960	Tue Mar 03 16:12:33 +0000 2015	Vernieling Leger des Heils http://t.co/dztlpFrmiu
572791549559488512	Tue Mar 03 16:12:02 +0000 2015	RT @postbadseries_: Holland Roden http://t.co/S0xRdVvjrt
572791529019846656	Tue Mar 03 16:11:57 +0000 2015	RT @Stefanography: Amsterdam @Iamsterdam - Nikon D3200 http://t.co/rB14MIWWYO
572791475127373824	Tue Mar 03 16:11:44 +0000 2015	Um #VanGogh2015 zu feiern, verlost @ExpediaDE eine Reise nach Holland! Retweeten und mit Gl�ck gewinnen http://t.co/uP3A8tx5dz
572791398316969984	Tue Mar 03 16:11:25 +0000 2015	Kashmir Lounge op #Yelp: Kashmir caps http://t.co/8k3rx0Is8G
572791306424078336	Tue Mar 03 16:11:04 +0000 2015	"@AnimalInPics: Wild Konik Horses, Holland http://t.co/eNUqFcMG14" #tweet4horses
572791305056731137	Tue Mar 03 16:11:03 +0000 2015	RT @marxnd: Refresco Gerber to list on Amsterdam stock market http://t.co/QoUldrtM50 via @fastFT #PrivateEquity
572791303920078848	Tue Mar 03 16:11:03 +0000 2015	RT @ExpediaDE: Wie wär's mit einem Urlaub in Holland? Retweeten und das Gemälde aufdecken #VanGogh2015 http://t.co/CGN13x3xKo http://t.co/Q…
572791248010010625	Tue Mar 03 16:10:50 +0000 2015	RT @ExpediaDE: Wie wär's mit einem Urlaub in Holland? Retweeten und das Gemälde aufdecken #VanGogh2015 http://t.co/CGN13x3xKo http://t.co/Q…
