Abfangschirm	Abfangschirm	NN	positive	-/-/-	D
Abgeklaertheit	Abgeklaertheit	NN	positive	-/-/-	D
Abgeschlossenheit	Abgeschlossenheit	NN	positive	-/-/-	D
Abgleich	Abgleich	NN	positive	-/-/-	D
Abgott	Abgott	NN	positive	-/-/-	D
Abhilfe	Abhilfe	NN	positive	0.2/0.8/0	D
Abhilfemassnahme	Abhilfemassnahme	NN	positive	-/-/-	D
Abkomme	Abkomme	NN	positive	-/-/-	D
Abkommen	Abkomme	NN	positive	-/-/-	D
Abkuehlung	Abkuehlung	NN	positive	0.5/0.5/0	D
Ableger	Ableger	NN	positive	-/-/-	D
Abloesen	Abloese	NN	positive	0.5/0.5/0	D
Abloesung	Abloesung	NN	positive	-/-/-	D
Abmachung	Abmachung	NN	positive	0.0040/-/-	L
Abmachungen	Abmachung	NN	positive	0.0040/-/-	L
Abschirmung	Abschirmung	NN	positive	0/0/1	D
Abschluss	Abschluss	NN	positive	0.5/0/0.5	D
Abschluss	Abschluss	NN	positive	0.0040/-/-	L
Abschlusses	Abschluss	NN	positive	0.0040/-/-	L
Abschlusss	Abschluss	NN	positive	0.0040/-/-	L
Abschluesse	Abschluss	NN	positive	0.0040/-/-	L
Abschluessen	Abschluss	NN	positive	0.0040/-/-	L
Absicherung	Absicherung	NN	positive	-/-/-	D
Absprache	Absprache	NN	positive	-/-/-	D
Abstimmung	Abstimmung	NN	positive	0.0040/-/-	L
Abstimmungen	Abstimmung	NN	positive	0.0040/-/-	L
Abstuetzung	Abstuetzung	NN	positive	-/-/-	D
Abstuetzvorrichtung	Abstuetzvorrichtung	NN	positive	-/-/-	D
Abundanz	Abundanz	NN	positive	-/-/-	D
Abwechslung	Abwechslung	NN	positive	0.375/0.4375/0.1875	D
Achtsamkeit	Achtsamkeit	NN	positive	-/-/-	D
Adaptation	Adaptation	NN	positive	-/-/-	D
Adaptationsfaehigkeit	Adaptationsfaehigkeit	NN	positive	-/-/-	D
Adept	Adept	NN	positive	-/-/-	D
Adhaesion	Adhaesion	NN	positive	-/-/-	D
Affirmation	Affirmation	NN	positive	-/-/-	D
Agilitaet	Agilitaet	NN	positive	0.0040/-/-	L
Akklamation	Akklamation	NN	positive	-/-/-	D
Akquisition	Akquisition	NN	positive	-/-/-	D
Aktivist	Aktivist	NN	positive	-/-/-	D
Aktivistin	Aktivistin	NN	positive	-/-/-	D
Aktivitaet	Aktivitaet	NN	positive	0.0040/-/-	L
Aktivitaeten	Aktivitaet	NN	positive	0.0040/-/-	L
Aktivposten	Aktivposten	NN	positive	-/-/-	D
Aktivum	Aktivum	NN	positive	-/-/-	D
Aktualisierung	Aktualisierung	NN	positive	0.0040/-/-	L
Aktualisierungen	Aktualisierung	NN	positive	0.0040/-/-	L
Aktualitaet	Aktualitaet	NN	positive	0.0040/-/-	L
Aktualitaeten	Aktualitaet	NN	positive	0.0040/-/-	L
Akzent	Akzent	NN	positive	0/0.25/0.75	D
Akzept	Akzept	NN	positive	-/-/-	D
Akzeptanz	Akzeptanz	NN	positive	0.0040/-/-	L
Allheilmittel	Allheilmittel	NN	positive	0/0/1	D
Allianz	Allianz	NN	positive	-/-/-	D
Alliierte	Alliierte	NN	positive	-/-/-	D
Altarraum	Altarraum	NN	positive	-/-/-	D
Altbaumodernisierung	Altbaumodernisierung	NN	positive	-/-/-	D
Altbausanierung	Altbausanierung	NN	positive	-/-/-	D
Alterungsbestaendigkeit	Alterungsbestaendigkeit	NN	positive	-/-/-	D
Altruist	Altruist	NN	positive	-/-/-	D
Altruistin	Altruistin	NN	positive	-/-/-	D
Amtsbefugnis	Amtsbefugnis	NN	positive	-/-/-	D
Amulett	Amulett	NN	positive	-/-/-	D
Amuesement	Amuesement	NN	positive	-/-/-	D
Anbeter	Anbeter	NN	positive	-/-/-	D
Anbetung	Anbetung	NN	positive	-/-/-	D
Andacht	Andacht	NN	positive	-/-/-	D
Andrang	Andrang	NN	positive	0.0040/-/-	L
Andranges	Andrang	NN	positive	0.0040/-/-	L
Andrangs	Andrang	NN	positive	0.0040/-/-	L
Anerkenntnis	Anerkenntnis	NN	positive	-/-/-	D
Anerkennung	Anerkennung	NN	positive	0.0855/-/-	L
Anerkennungen	Anerkennung	NN	positive	0.0855/-/-	L
Angebot	Angebot	NN	positive	0.0711/-/-	L
Angebote	Angebot	NN	positive	0.0711/-/-	L
Angeboten	Angebot	NN	positive	0.0711/-/-	L
Angebotes	Angebot	NN	positive	0.0711/-/-	L
Angebots	Angebot	NN	positive	0.0711/-/-	L
Angemessenheit	Angemessenheit	NN	positive	0.0040/-/-	L
Anhebung	Anhebung	NN	positive	0.0040/-/-	L
Anhebungen	Anhebung	NN	positive	0.0040/-/-	L
Anheiterung	Anheiterung	NN	positive	0.0040/-/-	L
Anhaengen	Anhang	NN	positive	0.5/0.5/0	D
Anhaenger	Anhaenger	NN	positive	0/0.666667/0.333333	D
Anhaengerin	Anhaengerin	NN	positive	-/-/-	D
Ankurbelung	Ankurbelung	NN	positive	0.0040/-/-	L
Anlageziel	Anlageziel	NN	positive	-/-/-	D
Anlenkung	Anlenkung	NN	positive	-/-/-	D
Anmut	Anmut	NN	positive	-/-/-	D
Anmutung	Anmutung	NN	positive	1/0/0	D
Annehmlichkeit	Annehmlichkeit	NN	positive	0.0040/-/-	L
Annehmlichkeiten	Annehmlichkeit	NN	positive	0.0040/-/-	L
Annaeherung	Annaeherung	NN	positive	0.0040/-/-	L
Annaeherungen	Annaeherung	NN	positive	0.0040/-/-	L
Anpassbarkeit	Anpassbarkeit	NN	positive	-/-/-	D
Anpassung	Anpassung	NN	positive	0.0040/-/-	L
Anpassungen	Anpassung	NN	positive	0.0040/-/-	L
Anpassungsfaehigkeit	Anpassungsfaehigkeit	NN	positive	0.0040/-/-	L
Anraten	Anraten	NN	positive	0/0.5/0.5	D
Anrecht	Anrecht	NN	positive	-/-/-	D
Anregung	Anregung	NN	positive	0/0/1	D
Anreicherung	Anreicherung	NN	positive	0.0040/-/-	L
Anreicherungen	Anreicherung	NN	positive	0.0040/-/-	L
Anreiz	Anreiz	NN	positive	-/-/-	D
Anreizung	Anreizung	NN	positive	-/-/-	D
Anschluss	Anschluss	NN	positive	0.204545/0.5/0.295455	D
Ansehen	Ansehen	NN	positive	0.315789/0.473684/0.210526	D
Ansporn	Ansporn	NN	positive	-/-/-	D
Anspornung	Anspornung	NN	positive	-/-/-	D
Ansprechvermoegen	Ansprechvermoegen	NN	positive	-/-/-	D
Anspruch	Anspruch	NN	positive	0.0040/-/-	L
Anspruches	Anspruch	NN	positive	0.0040/-/-	L
Anspruchs	Anspruch	NN	positive	0.0040/-/-	L
Ansprueche	Anspruch	NN	positive	0.0040/-/-	L
Anspruechen	Anspruch	NN	positive	0.0040/-/-	L
Anstand	Anstand	NN	positive	0.0040/-/-	L
Anstandes	Anstand	NN	positive	0.0040/-/-	L
Anstands	Anstand	NN	positive	0.0040/-/-	L
Anstandsgefuehl	Anstandsgefuehl	NN	positive	-/-/-	D
Anstelligkeit	Anstelligkeit	NN	positive	-/-/-	D
Anstieg	Anstieg	NN	positive	0.0040/-/-	L
Anstiege	Anstieg	NN	positive	0.0040/-/-	L
Anstiegen	Anstieg	NN	positive	0.0040/-/-	L
Anstieges	Anstieg	NN	positive	0.0040/-/-	L
Anstiegs	Anstieg	NN	positive	0.0040/-/-	L
Ansturm	Ansturm	NN	positive	-/-/-	D
Anstaende	Anstand	NN	positive	0.0040/-/-	L
Anstaenden	Anstand	NN	positive	0.0040/-/-	L
Anstaendigkeit	Anstaendigkeit	NN	positive	0.0040/-/-	L
Anteil	Anteil	NN	positive	0.0040/-/-	L
Anteile	Anteil	NN	positive	0.0040/-/-	L
